# Tumbler Models Seed Data
# Maps to: TumblerModel (4.11) entity
# TumblerType: Rotary=0, Vibratory=1 (seeder maps strings)
# IsCustomEntry: true for Generic/DIY entries where user must specify capacity
# SortOrder: Lower = appears first (popular models prioritized)
# MotorCapacityLbs: Total motor capacity (DefaultCapacityLbs × DefaultBarrelCount for multi-barrel)
#
Brand,Model,TumblerType,DefaultCapacityLbs,DefaultBarrelCount,MotorCapacityLbs,IsCustomEntry,SortOrder,Notes
Raytech,Tumble-Dump 75,Vibratory,75,1,75,false,101,Tumble-dump style 75 lb
Raytech,DRI-Polisher,Vibratory,0,1,0,false,102,Compact DRI-Polisher unit
# === DIAMOND PACIFIC ===
Diamond Pacific,Model 25RT,Rotary,25,1,25,false,110,Industrial barrel for large agate slabs
Diamond Pacific,65T,Rotary,65,1,65,false,111,High capacity rotary tumbler
Diamond Pacific,75RT,Rotary,75,1,75,false,112,Heavy-duty 75 lb rotary tumbler
Diamond Pacific,MT-4 Mini-Sonic,Vibratory,4,1,4,false,113,Mini-Sonic small vibratory tumbler
Diamond Pacific,Mini-Sonic MT-10,Vibratory,10,1,10,false,114,Non-rotary sonic agitation system
Diamond Pacific,MT-14 Mini-Sonic,Vibratory,14,1,14,false,115,Mini-Sonic larger vibratory tumbler
# === GY-ROC ===
Gy-Roc,Model B,Vibratory,3,3,9,false,120,Unique rolling vibratory motion
Gy-Roc,Model A,Vibratory,10,1,10,false,121,Large capacity for club batches
Gy-Roc,Model C,Vibratory,40,1,40,false,122,Large capacity for club batches
# === LOT-O-TUMBLER ===
Lot-o-Tumbler,Single Barrel,Vibratory,4.5,1,4.5,false,130,Single bowl vibratory tumbler - 4.5lb capacity
Lot-o-Tumbler,Twin Barrel,Vibratory,4.5,2,9,false,131,Twin vibratory bowls - 4.5lb each
# === MJR TUMBLERS ===
MJR Tumblers,6lb Single Barrel,Rotary,6,1,6,false,140,Single barrel rock tumbler
MJR Tumblers,6lb Double Barrel,Rotary,6,2,12,false,141,Double barrel rock tumbler
MJR Tumblers,6lb Triple Barrel,Rotary,6,3,18,false,142,Triple barrel rock tumbler
MJR Tumblers,10lb Single Barrel,Rotary,10,1,10,false,143,Single barrel rock tumbler
MJR Tumblers,10lb Double Barrel,Rotary,10,2,20,false,144,Double barrel rock tumbler
MJR Tumblers,12lb Single Barrel,Rotary,12,1,12,false,145,Single barrel rock tumbler
MJR Tumblers,12lb Double Barrel,Rotary,12,2,24,false,146,Double barrel rock tumbler
MJR Tumblers,15lb Single Barrel,Rotary,15,1,15,false,147,Single barrel rock tumbler
MJR Tumblers,20lb Single Barrel,Rotary,20,1,20,false,148,Single barrel rock tumbler
MJR Tumblers,25lb Single Barrel,Rotary,25,1,25,false,149,Single barrel rock tumbler
MJR Tumblers,30lb Single Barrel,Rotary,30,1,30,false,150,Single barrel rock tumbler
MJR Tumblers,40lb Single Barrel,Rotary,40,1,40,false,151,Single barrel rock tumbler
# === TUMBLE-BEE ===
Tumble-Bee,TB-12,Rotary,2,1,2,false,160,1 x 2 lb rock tumbler
Tumble-Bee,TB-14,Rotary,4,1,4,false,161,Kid-safe shutoff and molded barrel
Tumble-Bee,TB-22,Rotary,4,2,8,false,162,Dual 4lb barrels for parallel grits
# === REBEL 17 / STAINLESS TUMBLING MEDIA ===
Rebel 17,Single,Rotary,17,1,17,false,170,Large capacity tumbler
Rebel 17,Double,Rotary,17,2,34,false,171,Double large capacity
# === VEVOR - Budget Alternative ===
VEVOR,3 lb Rock Tumbler Kit,Rotary,3,1,3,false,180,Budget-friendly kit with programmable timer and multi-speed
VEVOR,4 lb Direct-Drive,Rotary,4,1,4,false,181,Direct-drive with digital controls and sound-reduction cover
# === LEEGOL ELECTRIC ===
Leegol Electric,3 lb Single Barrel,Rotary,3,1,3,false,185,Entry-level single-barrel rotary tumbler kit
Leegol Electric,1 lb Compact,Rotary,1,1,1,false,186,Very small single-barrel tumbler for kids
# === WIREJEWELRY ===
WireJewelry,Single Barrel 3 lb,Rotary,3,1,3,false,190,Professional single-barrel for jewelry makers
WireJewelry,Double Barrel 2 x 3 lb,Rotary,3,2,6,false,191,Pro-series double-barrel rotary tumbler kit
# === FRANKFORD ARSENAL (Brass Tumbler - Rock Compatible) ===
Frankford Arsenal,Rotary Tumbler Lite,Rotary,3,1,3,false,195,Compact rotary primarily for brass; suitable for small rock batches
Frankford Arsenal,Platinum Series Rotary,Rotary,15,1,15,false,196,Heavy-duty 7 liter rotary tumbler
# === EDUCATIONAL / KIDS TUMBLERS ===
Dan&Darci,Rock Tumbler Kit,Rotary,2,1,2,false,200,Kid-friendly starter tumbler
Discover with Dr. Cool,Professional Series,Rotary,3,1,3,false,201,Educational kit tumbler
NSI/Smithsonian,Smithsonian Rock Tumbler Kit,Rotary,0.5,1,0.5,false,202,Toy-grade educational tumbler
RELIGHTABLE,Professional Rock Tumbler,Rotary,5,1,5,false,203,Heavy-duty motor with LED display
# === GENERIC / DIY / OTHER - User Specifies Capacity ===
Generic,Rotary - Custom,Rotary,0,1,0,true,900,User specifies capacity
Generic,Vibratory - Custom,Vibratory,0,1,0,true,901,User specifies capacity
DIY,Custom Build - Rotary,Rotary,0,1,0,true,910,Homemade tumbler - user specifies all
DIY,Custom Build - Vibratory,Vibratory,0,1,0,true,911,Homemade vibratory - user specifies all
DIY,Custom Lot-o-Tumbler Build - Vibratory,Vibratory,4.5,1,4.5,true,912,Homemade Lot-o-Tumbler barrel vibratory - user specifies all
Other,Unlisted Rotary Model,Rotary,0,1,0,true,920,Brand not listed - user specifies details
Other,Unlisted Vibratory Model,Vibratory,0,1,0,true,921,Brand not listed - user specifies details
