"Banded Ironstone","Sedimentary","","Banded Ironstone","Banded Iron Formation","Iron-Rich Banded Sedimentary Rock","Rock","5.0","6.5","Moderate","60/90 -> 120/220 -> 500 -> Polish","Best tumbled with other dense material  Heavy; iron bands and silica bands polish differently",""
"Basalt","Basalt","","Basalt","Basalt Stone","Fine-Grained Mafic Igneous Rock","Rock","6.0","7.0","Moderate","60/90 -> 120/220 -> 500 -> Polish","usually takes a soft to medium gloss rather than mirror shine","Dense and tough;"
"Beach Sandstone Pebble","Sedimentary","","Beach Sandstone Pebble","Beach Sandstone","Quartz Sandstone","Rock","6.0","7.0","Fragile","60/90 -> 120/220 -> 500 -> Polish","Heavily weathered or crumbly sandstone will not polish well  Well-cemented varieties only;","usually satin sheen"
"Beryl Mix","Beryl","Beryl","Beryl Mix","Mixed Beryl","Beryl Group","Rock","7.5","8.0","Hard","80/120 -> 220 -> 500 -> Polish","","Lower-grade beryl parcels may be marketed as tumbling rough  Mixed aquamarine/morganite and other beryl; very hard"
"Bismuth (Grown)","Metal","","Bismuth Crystal","Hopper Crystal","Bi","Metal","2","2.5","Impossible","Display Only","Do not tumble; Will crumble/smear immediately.","crystals are fragile. Man-made crystals; tumbling ruins the geometric structure."
"Black Granite (Commercial)","Granite","","Black Granite","Black Commercial Granite","Mafic Igneous Rock (Often Gabbroic)","Rock","6.0","7.0","Moderate","60/90 -> 120/220 -> 500 -> Polish","may show granular texture at high polish","Dense and heavy;"
"Bloodstone","Silicate","Quartz","Heliotrope","","SiO2 (Chalcedony)","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","","None. Dark green jasper with red hematite spots. Tough and durable."
"Blue Kyanite","Silicate","Quartz","Kyanite","Blue Kyanite Blades","Aluminum Silicate","Rock","4.5","7.0","Fragile","220 -> 500 -> Polish","difficult to tumble smooth  Bladed crystals; hardness varies by direction","Splinters easily;"
"Blue Pearl Larvikite","Igneous","","Blue Pearl Larvikite","Blue Pearl","Monzonitic Feldspar-Rich Rock","Rock","6.0","6.5","Moderate","60/90 -> 120/220 -> 500 -> Polish","","Commercial building stone variety of larvikite; flashes blue"
"Blue Sodalite (Brazil)","Sodalite","Sodalite","Blue Sodalite","Brazilian Sodalite","Sodium Aluminum Silicate Chloride","Rock","5.5","6.0","Moderate","120/220 -> 500 -> Polish","good for tumbled stones","Common commercial sodalite;"
"Brass (Casings)","Metal","","Cartridge Brass","Shells","CuZn (Alloy)","Metal","3","4","Specialized","Stainless Steel Shot + Soap","Do not mix with rocks; use distinct barrel. Does not shape;","Used by reloaders; requires acidic cleaner (Lemishine). cleaning process only."
"Bronzite","Pyroxene","","Enstatite","","(Mg;Fe)SiO3","Mineral","5.5","6","Intermediate","120/220 -> 500 -> Polish","Watch for undercutting. softer than quartz.","Brown with metallic-looking chatoyancy. Schiller effect;"
"Buddstone","Metamorphic","","Buddstone","African Jade","Metamorphosed Quartz-Rich Rock","Rock","6.0","7.0","Moderate","60/90 -> 120/220 -> 500 -> Polish","not true jade mineralogically  Tumbles like a hard jasper;","Trade name; tough and dense"
"Calcite","Carbonate","","Calcite","Calc Spar","Calcium Carbonate","Rock","3.0","3.0","Fragile","220 -> 500 -> Polish","difficult to polish to mirror finish  Various colors; very soft and cleavable","Rounds quickly;"
"Calcite (Blue)","Carbonate","","Blue Calcite","","Calcium Carbonate","Rock","3.0","3.0","Fragile","220 -> 500 -> Polish","soft","Pale blue;"
"Calcite (Green)","Carbonate","","Green Calcite","","Calcium Carbonate","Rock","3.0","3.0","Fragile","220 -> 500 -> Polish","soft","Pale green;"
"Calcite (Honey)","Carbonate","","Honey Calcite","","Calcium Carbonate","Rock","3.0","3.0","Fragile","220 -> 500 -> Polish","soft","Golden amber color;"
"Calcite (Orange)","Carbonate","","Orange Calcite","","Calcium Carbonate","Rock","3.0","3.0","Fragile","220 -> 500 -> Polish","soft","Bright orange;"
"Carnelian","Silicate","Quartz","Red Chalcedony","Cornelian","SiO2","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","high polish.","None. Translucent orange to red chalcedony. Excellent durability;"
"Carnelian (Brazilian)","Agate","Quartz","Brazilian Carnelian","","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Rich orange to red chalcedony; behaves like other agates"
"Carnelian (Golden)","Quartz","Quartz","Golden Carnelian","Golden Carnelian Agate","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","same hardness and behavior as standard carnelian","Yellow to golden-orange;"
"Carnelian (Red)","Quartz","Quartz","Red Carnelian","Red Carnelian Agate","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Deep red shades; behaves like other carnelian/chalcedony"
"Celestite","Sulfate","","Celestite","Celestine","Strontium Sulfate","Rock","3.0","3.5","Fragile","220 -> 500 -> Polish","Very difficult to tumble without breaking  Pale blue crystals; very soft and brittle",""
"Chalcedony (Blue)","Quartz","Quartz","Blue Chalcedony","Blue Chalcedony Agate","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","Soft blue translucent chalcedony; polishes to a glowing luster",""
"Chalcedony (Chrome)","Quartz","Quartz","Chrome Chalcedony","","Chalcedony (Chromium-Bearing)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","very durable in the barrel","Rich green;"
"Chalcedony (Grape)","Quartz","Quartz","Grape Chalcedony","Grape Agate","Chalcedony","Rock","6.5","7.0","Moderate","220 -> 500 -> Polish","individual spheres can bruise","Often sold as mineral clusters; tumbling best limited to very small nodules  Botryoidal nodules;"
"Chalcedony (Namibian Blue)","Quartz","Quartz","Namibian Blue Chalcedony","","Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","High-quality blue chalcedony; behaves like other chalcedony"
"Chalcedony (Plasma)","Quartz","Quartz","Plasma Chalcedony","","Chalcedony","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Deep green chalcedony; dense and uniform"
"Chalcedony (Purple)","Quartz","Quartz","Purple Chalcedony","Purple Chalcedony Agate","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Behaves like other chalcedony; color can be subtle"
"Chalcedony (White)","Quartz","Quartz","White Chalcedony","White Chalcedony Agate","Chalcedony (Microcrystalline Quartz)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","very forgiving in tumbler","Milky to translucent;"
"Chalcopyrite (in Matrix)","Sulfide","","Copper Pyrite","","CuFeS2","Mineral","3.5","4","Advanced","120/220 -> 500 -> Polish","can undercut. Often tumbled to reveal iridescent tarnish. matrix wears faster.","Matrix often quartz; Toxic dust if dry ground. Metallic luster;"
"Charoite","Silicate","Quartz","Charoite","","Complex Silicate","Mineral","5","6","Advanced","120/220 -> 500 -> Polish","Do not run coarse stage too long.","Rare purple stone from Russia; swirling pattern. Fibrous structure; can fray or pull out."
"Chert","Chert","Quartz","Chert","Chert Stone","Microcrystalline Quartz","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Behaves like jasper/agate; dense and tough"
"Chert (Fossiliferous)","Sedimentary","","Fossiliferous Chert","Fossil Chert","Silicified Fossil-Bearing Sedimentary Rock","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Hard; fossil outlines show as patterns"
"Chiastolite (Cross Stone) in Slate","Metamorphic","","Chiastolite in Slate","Cross Stone in Slate","Andalusite Crystals in Slate","Rock","5.0","6.0","Fragile","220 -> 500 -> Polish","Cushion well; minimize coarse grinding to preserve crosses  Hard chiastolite crosses in softer slate;","slate may flake"
"Chrysanthemum Stone","Limestone","","Chrysanthemum Stone","Flower Stone","Limestone with Celestite/Andalusite","Rock","3.0","4.0","Fragile","220 -> 500 -> Polish","soft","Patterns can be undercut  Black with white flower patterns;"
"Chrysocolla","Silicate","Quartz","Gem Silica (rarely)","","Cu2-xAlx(H2-xSi2O5)(OH)4","Mineral","2","4","Expert","Polishing Cloth/Hand","Often too soft for rotary tumbling; Usually tumbled only if mixed with quartz (Gem Silica). Extremely soft; often mixed with quartz.","vibratory preferred."
"Chrysoprase","Silicate","Quartz","Green Chalcedony","Australian Jade","SiO2 + Nickel","Mineral","6.5","7","Easy","60/90 -> 120/220 -> 500 -> Polish","Brown matrix can be softer.","The most valuable variety of Chalcedony; apple green. Durable; tough microcrystalline structure."
"Citrine","Quartz","Quartz","Yellow Quartz","Merchant's Stone","SiO2","Mineral","7","7","Easy","60/90 -> 120/220 -> 500 -> Polish","","None. Natural citrine is rare; most is heat-treated amethyst. Durable; identical behavior to Amethyst."
"Colorado Amazonite","Feldspar","Feldspar","Colorado Amazonite","","Microcline Feldspar","Rock","6.0","6.5","Moderate","60/90 -> 120/220 -> 500 -> Polish","Cleavage can cause chipping; cushion heavily",""
"Conifer Petrified Wood (Araucaria-Type)","Petrified Wood","","Conifer Petrified Wood","Araucaria Petrified Wood","Silicified Conifer Wood","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","Tree-ring and cell structures show under polish",""
"Copal","Organic","","Copal","Young Amber","Immature Fossilized Resin","Organic","2.0","2.5","Fragile","Polish","dry tumble recommended  Softer than amber;","Very heat sensitive; can become sticky if heated"
"Copper (Nuggets)","Metal","","Native Copper","Float Copper","Cu","Metal","2.5","3","Specialized","Stainless Steel Shot + Acid","no grit. bends rather than grinds.","Use burnishing compound; Requires steel shot to hammer-finish the surface. Malleable;"
"Coquina","Sedimentary","","Coquina","Shell Coquina","Shell Fragment Limestone","Rock","3.0","4.0","Very Fragile","220 -> 500 -> Polish","Tiny loads and heavy cushioning required;","very delicate  Extremely porous; sheds grains easily"
"Coral (Agatized)","Fossil","Quartz","Fossil Coral","","SiO2 (replacing CaCO3)","Fossil","6.5","7","Intermediate","60/90 -> 120/220 -> 500 -> Polish","Check for ""pitting"" where polyps were.","Florida State Stone; beautiful flower patterns. Pattern is delicate; can be porous."
"Coral (Florida Agatized)","Fossil","","Florida Agatized Coral","Florida Fossil Coral","Silicified Coral (Chalcedony)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","takes bright polish","Hard nodules with fossil coral patterns;"
"Coral (Honeycomb Fossil)","Fossil","","Honeycomb Fossil Coral","Honeycomb Coral","Silicified Hexagonal Coral","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Strong honeycomb patterns; dense and durable"
"Coral (Indonesian Fossil)","Fossil","","Indonesian Fossil Coral","Indo Fossil Coral","Silicified Coral (Chalcedony)","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Hexagonal coral structures preserved; behaves like jasper/agate"
"Coral (Red)","Organic","","Red Coral","Precious Coral","Calcium Carbonate Skeleton","Organic","3.0","4.0","Fragile","220 -> 500 -> Polish","treat as soft carbonate  Branching red skeleton; soft","Often stabilized or dyed;"
"Crinoid Fossil Stone (Silicified)","Fossil","","Crinoid Fossil Stone","Crinoid Stone","Silicified Crinoid Stems in Chert","Rock","6.5","7.0","Easy","60/90 -> 120/220 -> 500 -> Polish","","Behaves like chert/agate; fossil stems appear as patterns"
"Dalmatian Stone","Igneous","","Aplite","Dalmatian Jasper","Feldspar/Quartz/Hornblende","Rock","6","7","Intermediate","60/90 -> 120/220 -> 500 -> Polish","Add pellets to reduce impact on softer spots. Black spots are softer than white matrix (undercutting).","Often sold as jasper but is actually an igneous rock."
"Desert Sandstone Pebble","Sedimentary","","Desert Sandstone Pebble","Desert Sandstone","Quartz Sandstone","Rock","6.0","7.0","Fragile","60/90 -> 120/220 -> 500 -> Polish","","Best results from fine-grained, strongly cemented rocks  Wind-worn surfaces; easily micro-pitted"
"Diopside","Pyroxene","","Black Star Diopside","","MgCaSi2O6","Mineral","5.5","6.5","Intermediate","60/90 -> 120/220 -> 500 -> Polish","","Often opaque black/green. Similar behavior to augite. Star effect requires specific orientation."
"Diopside (Chrome)","Pyroxene","","Tashmarine (gem grade)","","CaMgSi2O6","Mineral","5.5","6.5","Intermediate","60/90 -> 120/220 -> 500 -> Polish","","Less common rough; high breakage risk. Deep forest green color. Prone to chipping."
"Dolomite","Carbonate","","Dolomite Marble","","CaMg(CO3)2","Mineral","3.5","4","Advanced","500 -> Polish","Use only gentle grit/media; Soft;","clean often. Metamorphic rock; harder than Calcite. dissolves slightly in acid."
"Dolomite (Mountain Jade)","Dolomite","","Mountain Jade","Dolomite Jade","Dyed Dolomite or Similar Carbonate","Rock","3.5","4.0","Fragile","220 -> 500 -> Polish","treat as a soft carbonate, not jade  Soft;","Brightly dyed; rounds quickly and may scratch easily"
"Dolostone","Sedimentary","","Dolostone","Dolomite Rock","Calcium Magnesium Carbonate Rock","Rock","3.5","4.0","Fragile","220 -> 500 -> Polish","Soft; polishes to satin rather than high gloss",""
"Dumortierite","Silicate","Quartz","Blue Quartz","Blue Denim Stone","Al7(BO3)(SiO4)3O3","Mineral","7","8.5","Easy","60/90 -> 120/220 -> 500 -> Polish","takes a while to shape.","Can be very tough; requires patience. Deep blue fibrous inclusions in quartz. Very hard;"
