# Barrel Nicknames Seed Data
# Maps to: BarrelNickname (4.13) entity
# Category is optional grouping for UI filtering
# IsActive defaults to true (omitted from CSV)
#
Name,Category
Spin Cycle of Shame,Laundry
Spin Doctor,Music
Spin Doctor's Office,Medical
Spin-Cycle Cinema,Entertainment
Spinny Binny,Descriptive
Spinny Grinder,Action
Spinny Tubbie,TV
Spinny-Winny,Descriptive
Splish-Splash Spa,Spa
Stone Can,Descriptive
Stone Sauna,Spa
Stone Shaker Container,Action
Stone Smoother,Action
Stress Ball (For The Rocks),Wellness
Stress Relocation Device,Wellness
Suspicious Rattle Factory,Humor
Thunk Tank,Sounds
Time Capsule,Time
Tiny Tumbler,Descriptive
Tumble Therapy Unit,Wellness
Tumble Toilet,Bathroom
Tumble Tubbie,TV
Tumble Tummy,Anatomy
Tumble Tunnel,Places
Tumblenator,Movies
Tumbler of Transformation,Transformation
Tumbleweed for Rocks,Nature
Tumbling Tenor,Music
Tumbling Tub,Descriptive
Tumbling Twister,Weather
Ugly Barrel,Descriptive
Ugly Blender,Kitchen
Ugly Cask,Descriptive
Ugly Duckling Drum,Fairytales
Ugly Duckling Pond,Fairytales
Ugly Eraser,Office
Ugly In Pretty Out,Transformation
Ugly Polisher,Action
Ugly Rock Asylum,Places
Ugly Rock Clinic,Medical
Ugly Rock Redemption Center,Transformation
Ugly Rock Roaster,Kitchen
Ugly Rock Roller Coaster,Amusement
Ugly Rock Sauna,Spa
Ugly Rock Spa Day,Spa
Ugly Rock Whirlpool,Water
Ugly Truth Chamber,Feelings
Vibe Check Cylinder,Internet
Wax On Wax Off,Movies
White Noise Generator,Tech
Wobble Barrel,Action
Wobble Box,Action
Wobble Chamber,Action
Wobble Drum,Action
Wobble Pot,Action
Wobble Tumbler,Action
Wobble Wagon,Transportation
Wobbly Bin,Action
Wobbly Hub,Action
Wobbly Trolley,Transportation
Wobbly-Woozy,Action
Sir Spins-a-Lot,Royalty
The Polisher,Jobs
Rolling Thunder,Weather
The Rock Star,Music
Stone Cold,Wrestling
Crystal Clear,Gems
Rough Diamond,Gems
Smooth Operator,Music
The Agitator,Action
Barrel of Laughs,Humor
Dizzy Gillespie,Music
Whirly Bird,Animals
The Mixer,Kitchen
Captain Crunch,Food
Professor Polish,Education
Baron Von Tumble,Royalty
Duke of Dust,Royalty
Count Spinula,Spooky
Sir Tumbles McRock,Royalty
Lady Grits-a-Lot,Royalty
The Grit Whisperer,Wellness
Master Splinter,Movies
Old Faithful,Nature
The Daily Grind,Coffee
Espresso Express,Coffee
Java the Hutt,Movies
Latte Launcher,Coffee
Mocha Motion,Coffee
Bean Machine,Coffee
Grind Central,Coffee
Coffee Break Barrel,Coffee
Brew Crew,Coffee
Tumble Bee,Animals
Busy Bee Barrel,Animals
Honey Pot,Animals
Buzz Box,Animals
Stinger Spinner,Animals
Hive Mind,Animals
Queen Bee Barrel,Animals
Worker Bee Bin,Animals
Drone Zone,Animals
Nectar Nook,Animals
Pizza Oven,Food
Taco Tuesday Tumbler,Food
Burrito Bowl,Food
Nacho Libre,Movies
Salsa Spinner,Food
Guac 'n' Roll,Food
Chip Chomper,Food
Queso Quest,Food
Enchilada Engine,Food
Fajita Factory,Food
Thunder Dome,Movies
Mad Max Mixer,Movies
Fury Road Roller,Movies
Witness Me Barrel,Movies
War Rig,Movies
Immortan Joe's Jar,Movies
Chrome Dome,Movies
Citadel Cylinder,Movies
Bullet Farm Barrel,Movies
Gas Town Grinder,Movies
